STT,Chủ đề,Chi nhánh,Câu hỏi,A,B,C,D,Đáp án,Giải thích
72,Body · Foot · Facial care & Gội đầu ráy tai (Q2),Q2,'Last order 22h' trong bảng giá có nghĩa là gì?,Đóng cửa lúc 22:00,Chỉ nhận khách sau 22:00,Giảm giá đến 22:00,Nhận đơn cuối lúc 22:00 dù dịch vụ mở đến 23:00,D,Dịch vụ mở 10:00–23:00 nhưng chỉ nhận order đến 22:00.
73,Body · Foot · Facial care & Gội đầu ráy tai (Q2),Q2,Hai khung Combo Facial care 60' + Nghỉ dưỡng (420k) tại Q2 khác nhau ở điểm nào ngoài giờ áp dụng?,Cả hai đều đến 30/10 và không áp dụng lễ,Khung T2–T6 đến 30/10 KHÔNG áp dụng lễ · khung T7–CN đến 01/11 ÁP DỤNG lễ,Cả hai đều đến 01/11 và áp dụng lễ,Khung T2–T6 áp dụng lễ · khung T7–CN thì không,B,Combo 420k khung 09:00–23:00 (T2–T6) chạy đến 30/10 và KHÔNG áp dụng lễ; khung 16:00–23:00 (T7–CN) chạy đến 01/11 và ÁP DỤNG lễ.
74,Body · Foot · Facial care & Gội đầu ráy tai (Q2),Q2,Dịch vụ nào sau đây KHÔNG cần booking trước?,Combo Facial care 60' + Nghỉ dưỡng,Sơn gel,Nhóm Gội đầu – Ráy tai,Cắt tóc + gội đầu 10 phút (Hair),D,"Không cần booking: Color/Style/Treatment (Hair) và cắt tóc + gội đầu 10 phút. Sơn gel, nhóm Gội đầu – Ráy tai và Combo Facial care đều cần booking trước 1 tiếng."
75,Body · Foot · Facial care & Gội đầu ráy tai (Q2),Q2,Last order của các dịch vụ care tại Quận 2 được tính như thế nào?,Tất cả đều last order lúc 22:00,Tất cả đều last order lúc 21:00,Theo thời lượng: 30 phút → 22:00 · 60 phút → 21:30 · 90 phút → 21:00,"Không có last order, nhận khách đến 23:00",C,"Cửa đóng lúc 23:00 nên last order lùi lại đúng bằng thời lượng: dịch vụ 30 phút nhận đến 22:00, 60 phút đến 21:30, 90 phút đến 21:00."
76,Chương trình Quận 1,Q1,Happy Hour Bathhouse Nam tại Quận 1 có giá bao nhiêu?,210k,232k,190k,176k,D,"Bathhouse Nam Q1: 176k, 09:00–12:00, T2–T6. (232k là Skin Care Nam.)"
77,Chương trình Quận 1,Q1,Happy Hour tại Quận 1 áp dụng khung giờ nào?,"09:00–12:00, T2–CN","09:00–11:00, T2–T6","09:00–12:00, T2–T6","08:00–11:00, T2–T6",C,"Q1: 09:00–12:00, T2–T6, chương trình thường niên, không áp dụng lễ tết."
78,Chương trình Quận 1,Q1,Giá Skin Care Nam trong Happy Hour Quận 1?,176k,232k,230k,263k,B,Skin Care Nam Q1: 232k.
79,Chương trình Quận 1,Q1,"Giá Facial care 60' tại Quận 1 thay đổi thế nào từ kỳ T7,T8 sang T9,T10/2026?",Giảm từ 263k xuống 230k,Giữ nguyên 230k,Tăng từ 242k lên 298k,Tăng từ 230k lên 263k,D,"Facial care 60' Q1: T7,T8 = 230k → T9,T10 = 263k."
80,Chương trình Quận 1,Q1,Những dịch vụ nào tại Quận 1 chỉ dành cho khách người Việt?,Chỉ Body care 60' (no oil),Body care 60' (no oil) và Foot care 60',Chỉ Facial care 60',Tất cả dịch vụ care đều không giới hạn quốc tịch,B,"Cả Body care 60' (no oil) và Foot care 60' đều ghi rõ: chỉ khách người Việt, booking trước 1h. Facial care 60' áp dụng cho tất cả khách hàng."
81,Chương trình Quận 1,Q1,Giá Foot care 60' và Body care 60' (no oil) tại Quận 1 lần lượt là?,242k và 298k,298k và 242k,230k và 263k,252k và 316k,A,"Foot care 60' = 242k; Body care 60' (no oil) = 298k. (252k/316k là giá kỳ T7,T8 của Quận 7 — kỳ T9,T10 là 266k/330k.)"
82,Chương trình Quận 1,Q1,Ưu đãi sơn gel tại Nail Quận 1 là bao nhiêu và trong khung giờ nào?,"Giảm 50%, 10:00–16:00, T2–T6","Giảm 30%, 10:00–23:00, T2–CN","Giảm 20%, cả ngày, T2–CN","Giảm 20%, 10:00–16:00, T2–T6",D,"Nail Q1: sơn gel tay/chân (cắt da + sơn) và Design giảm 20%, 10h–16h, T2–T6."
83,Chương trình Quận 1,Q1,Khách review Google Maps tại Nail Quận 1 được tặng gì?,Giảm thêm 20%,1 trứng nướng,1 voucher nghỉ dưỡng,Miễn phí tháo gel hoặc tặng 'thêm 1 màu sơn' (1 ngón),D,Q1 tặng miễn phí tháo gel hoặc dịch vụ 'thêm 1 màu sơn' (1 ngón) — khác Q2 (tặng voucher nghỉ dưỡng).
84,Chương trình Quận 1,Q1,Chương trình review Google Maps tại Nail Quận 1 có áp dụng ngày lễ tết không?,Chỉ áp dụng Tết Nguyên đán,Không áp dụng lễ tết,"Chỉ T2–T6, không áp dụng lễ","Có — ÁP DỤNG các ngày lễ, tết, đến 31.12.2026",D,"Chương trình review Q1 áp dụng T2–CN, đến 31.12.2026, ÁP DỤNG các ngày lễ, tết."
85,Chương trình Quận 1,Q1,"Tại Nail Quận 1, ưu đãi sơn gel 20% và chương trình review Google Maps khác nhau thế nào về ngày lễ?",Cả hai đều KHÔNG áp dụng lễ tết,Cả hai đều ÁP DỤNG lễ tết,Sơn gel 20% ÁP DỤNG lễ tết · chương trình review thì không,Sơn gel 20% KHÔNG áp dụng lễ tết · chương trình review thì ÁP DỤNG lễ tết,D,"Hai chương trình cùng chạy đến 31/12/2026 nhưng khác nhau: sơn gel/Design giảm 20% KHÔNG áp dụng lễ, tết; còn chương trình review Google Maps thì ÁP DỤNG lễ, tết."
86,Chương trình Quận 7,Q7,Giá vé HSSV tại Quận 7 là bao nhiêu?,90k,125k,130k,150k,A,"HSSV Q7: 90k (khác Q2 là 125k), kèm tặng thêm 1 trứng nướng."
87,Chương trình Quận 7,Q7,Khung giờ ưu đãi HSSV tại Quận 7?,08:00–11:00 và 12:00–24:00,09:00–11:00 và 12:00–24:00,09:00–24:00 liên tục,08:00–11:00,A,"Q7 bắt đầu sớm hơn Q2 một tiếng: 08:00–11:00 và 12:00–24:00, T2–T6."
88,Chương trình Quận 7,Q7,Điều kiện của ưu đãi 'Miễn phí cho BẠN GÁI nếu đi cùng bạn trai' tại Quận 7?,"Cặp đôi bất kỳ độ tuổi, chỉ cần mặc áo đôi","Cặp đôi 15–35 tuổi, mặc áo đôi cùng màu có in hình/chữ giống nhau, mang CCCD","Cặp đôi 18–40 tuổi, có CCCD",Cặp đôi đã kết hôn,B,"Cặp đôi từ 15–35 tuổi, mặc áo đôi cùng màu có in hình hoặc chữ giống nhau, mang CCCD để chứng thực độ tuổi."
89,Chương trình Quận 7,Q7,"Trong ưu đãi cặp đôi tại Quận 7, bạn trai phải trả bao nhiêu?",130k,90k,150k,Miễn phí cả hai,C,"Giá vé bạn trai: 150k, bạn gái miễn phí, áp dụng sau 19:00, T2–CN."
90,Chương trình Quận 7,Q7,Ưu đãi miễn phí cho người lớn từ 60 tuổi tại Quận 7 yêu cầu gì?,Phải là khách người Việt và có thẻ thành viên,"Phải có 1 người đi kèm từ 18 tuổi trở lên, vé người đi kèm 150k",Phải đi cùng ít nhất 2 người,"Chỉ cần mang CCCD, đi một mình được",B,"Miễn phí cho 1 người lớn ≥60 tuổi, bắt buộc có 1 người đi kèm ≥18 tuổi; vé người đi kèm 150k; CCCD của cả hai."
91,Chương trình Quận 7,Q7,Hai ưu đãi 'miễn phí' của Quận 7 (cặp đôi và người lớn U60) áp dụng khung giờ nào?,"Cả ngày, T2–T6","Sau 19:00, T2–CN, không áp dụng lễ tết","08:00–11:00, T2–T6","Sau 21:00, T2–CN",B,"Cả hai đều áp dụng sau 19:00, T2–CN, KHÔNG áp dụng các ngày lễ, tết."
92,Chương trình Quận 7,Q7,Ưu đãi tối tại Quận 7 có giá bao nhiêu?,110k,150k,130k,139k,C,"Ưu đãi tối Q7: 130k, 21:00–24:00, T2–CN. (Q2 là 139k.)"
93,Chương trình Quận 7,Q7,Happy Hour Sáng tại Quận 7 có lưu ý gì đặc biệt?,"190k, 08:00–11:00, không áp dụng T7, CN & lễ","210k, 09:00–11:00, T2–T6","150k, 19:00–24:00","190k, áp dụng cả tuần",A,"Happy Hour Sáng Q7: 190k, 08:00–11:00, T2–T6 — không áp dụng T7, CN và ngày lễ."
94,Chương trình Quận 7,Q7,Happy Hour Tối tại Quận 7 giá bao nhiêu và khung giờ nào?,"170k, 20:00–24:00, T2–CN","130k, 21:00–24:00, T2–CN","150k, 19:00–24:00, T2–CN","190k, 19:00–24:00, T2–T6",C,"Happy Hour Tối Q7: 150k, 19:00–24:00, T2–CN."
95,Chương trình Quận 7,Q7,"Giá Foot Care 60' và Body Care no oil (đã giảm 20%) tại Quận 7 trong kỳ T9,T10?",230k và 263k,266k và 330k,242k và 298k,252k và 316k,B,"Kỳ T9,T10 tại Q7: Foot Care 60' = 266k; Body Care no oil = 330k (kỳ T7,T8 là 252k/316k). Áp dụng sau 19:00, T2–T6, booking trước qua hotline, KHÔNG áp dụng lễ, tết."
96,Chương trình Quận 7,Q7,Khung giờ ưu đãi Lễ 2/9 tại Quận 7 khác Quận 2 như thế nào?,Q7: 08:00–11:00 & 16:00–19:00 · Q2: 09:00–10:30 & 18:00–20:00,Q7 áp dụng cả ngày,Hai chi nhánh giống nhau,Q7: 09:00–10:30 & 18:00–20:00 · Q2: 08:00–11:00 & 16:00–19:00,A,Cùng giá 210k nhưng khung giờ khác nhau: Q7 sớm hơn (08:00–11:00 & 16:00–19:00).
97,Chương trình Quận 7,Q7,Ưu đãi tối 130k tại Quận 7 áp dụng đến khi nào và có áp dụng ngày lễ không?,"Đến 30/10, KHÔNG áp dụng lễ","Đến 01/11, KHÔNG áp dụng lễ","Đến 31/12, ÁP DỤNG lễ","Đến 31/10, ÁP DỤNG lễ",D,"Ưu đãi tối 130k (21:00–24:00, T2–CN) tại Q7 chạy đến 31/10 và ÁP DỤNG cả ngày lễ — khác với hai ưu đãi ""miễn phí"" của Q7 vốn không áp dụng lễ, tết."
98,Chương trình Quận 7,Q7,Vé HSSV 90k và Facial Care 60' tại Quận 7 áp dụng đến ngày nào?,"Đến 01/11, KHÔNG áp dụng lễ","Đến 31/12, ÁP DỤNG lễ","Đến 30/10, KHÔNG áp dụng lễ","Đến 30/9, ÁP DỤNG lễ",C,Cả vé HSSV 90k lẫn Facial Care 60' tại Q7 đều chạy đến 30/10 và KHÔNG áp dụng ngày lễ.
99,Chương trình Quận 7,Q7,Happy Hour tại Quận 7 mở sớm hơn Quận 2 như thế nào?,"Q7: Bathhouse & Skin Care từ 07:00, Nghỉ dưỡng từ 08:00 · Q2 đều từ 09:00",Q7: tất cả từ 08:00 · Q2: tất cả từ 10:00,Q7 mở muộn hơn Q2 một tiếng,Hai chi nhánh mở cùng giờ,A,"Q7 mở Happy Hour sớm hơn: Bathhouse và Skin Care từ 07:00, Nghỉ dưỡng từ 08:00. Quận 2 cả ba nhóm đều bắt đầu 09:00."
100,Chương trình Quận 7,Q7,Giá Happy Hour Nghỉ dưỡng tại Quận 7 cho trẻ em là bao nhiêu?,140k cho cả hai ca,Trẻ em không được áp dụng Happy Hour,115k ca sáng và 85k ca tối,115k cho cả ca sáng lẫn ca tối,D,Trẻ em Q7 là 115k ở cả ca sáng (08:00–11:00) lẫn ca tối (19:00–24:00). Người lớn thì khác nhau: 190k sáng và 150k tối.
101,Chương trình Quận 7,Q7,Giá menu Skin Care (Peeling Skin) tại Quận 7 cho Nam và Nữ là bao nhiêu?,Cả hai đều 290k / 30 phút,Nam 290k / 30 phút · Nữ 350k / 45 phút,Nam 350k / 45 phút · Nữ 290k / 30 phút,Nam 235k / 30 phút · Nữ 280k / 45 phút,B,"Giá menu: Skin Care Nam 290k (30 phút), Nữ 350k (45 phút), Trẻ em 195k. Còn 235k/280k là giá Happy Hour, không phải giá menu."
102,Chương trình Quận 7,Q7,Trẻ em được tính theo tiêu chí nào và khi nào thì miễn phí?,"Theo chiều cao: 0,8m–1,2m tính giá trẻ em · dưới 0,8m miễn phí",Theo tuổi: dưới 6 tuổi miễn phí,"Theo chiều cao: dưới 1,2m đều miễn phí",Theo tuổi: dưới 12 tuổi tính giá trẻ em · dưới 3 tuổi miễn phí,A,"Trẻ em tính theo chiều cao 0,8m–1,2m; dưới 0,8m (Baby) miễn phí. Mọi trường hợp đều phải có người lớn đi kèm."
103,Chương trình Quận 7,Q7,Giá trên menu của Golden Lotus đã bao gồm VAT chưa?,Chưa — menu ghi rõ giá chưa bao gồm VAT,Chỉ giá Skin Care mới chưa gồm VAT,Chỉ giá Happy Hour mới chưa gồm VAT,Rồi — đã gồm VAT,A,"Cuối menu ghi rõ: ""Giá trên menu chưa bao gồm VAT / The above price does not include VAT"". Cần lưu ý khi báo giá cho khách."
104,Chương trình Quận 7,Q7,Dịch vụ Honey Skin Care (Nữ) tại Quận 7 gồm những gì và giá bao nhiêu?,290k / 30 phút — scrub + wrap,450k / 50 phút — body scrub + wrap (chọn 1) + xông nhiệt 20 phút miễn phí,"450k / 50 phút — chỉ có wrap, không kèm xông nhiệt",350k / 45 phút — chỉ có body scrub,B,"Honey Skin Care (Lady Only): 450k, 50 phút, gồm body scrub (bắp / hạt sen / sữa muối), wrap chọn 1 trong 3 (cà phê / nghệ / dừa mật ong) và xông nhiệt 20 phút miễn phí."
105,Nội quy Healing World,Chung,Thời gian tối đa được khuyến cáo cho mỗi lượt sử dụng phòng Nhiệt Nóng/Lạnh là bao lâu?,45 phút,30 phút,15 phút,Không giới hạn,B,Điều 13: sử dụng phòng Nhiệt Nóng/Lạnh tối đa 30 phút mỗi lượt.
106,Nội quy Healing World,Chung,Khách làm mất chìa khóa tủ phải bồi hoàn bao nhiêu?,500.000 VNĐ,200.000 VNĐ,100.000 VNĐ,300.000 VNĐ,D,"Điều 20: chìa khóa mất, hỏng hoặc không tìm thấy phải bồi hoàn 300.000 VNĐ."
107,Nội quy Healing World,Chung,Khách được mang gì vào khu vực tắm?,Đồ bơi và khăn tắm,Chỉ khăn tắm,Đồ lót và khăn tắm,Áo thun mỏng,B,"Điều 12: không mang bất kỳ quần áo nào (đồ bơi, đồ lót, áo thun...) vào khu vực tắm, chỉ được mang khăn tắm."
108,Nội quy Healing World,Chung,Vật gì KHÔNG được mang vào phòng Nhiệt Nóng/Lạnh?,Khăn tắm,Chỉ điện thoại,"Đồ ăn, thức uống và điện thoại di động",Chỉ đồ ăn,C,"Điều 5: không mang đồ ăn, thức uống và điện thoại di động vào phòng Nhiệt Nóng/Lạnh."
109,Nội quy Healing World,Chung,Khách vi phạm nội quy và đã được nhắc nhở từ mấy lần thì Healing World có quyền từ chối phục vụ?,Từ 05 lần trở lên,"Từ 02 lần trở lên, hoàn 50% phí","Từ 03 lần trở lên, không hoàn trả phí đã thanh toán",Ngay lần đầu tiên,C,"Điều 24: vi phạm và đã được nhắc nhở từ 03 lần trở lên, Healing World có quyền từ chối phục vụ và không hoàn trả các khoản phí."
110,Nội quy Healing World,Chung,Khách gọi món từ nhà hàng lên khu vực nào là KHÔNG được phép?,Phòng Karaoke lầu 3,Sảnh thư giãn chung (Healing zone – Lầu 2),Khu Board Game lầu 2,Khu check-in lầu 3,B,Điều 11: không gọi món ăn nhà hàng lên khu vực Sảnh thư giãn chung (Healing zone – Lầu 2).
111,Nội quy Healing World,Chung,Khách đã uống rượu bia đến Healing World thì xử lý thế nào?,Phục vụ bình thường,Yêu cầu ký cam kết rồi phục vụ,Vẫn phục vụ nhưng không cho vào phòng nhiệt,Từ chối phục vụ,D,Điều 14: Golden Lotus Healing World từ chối phục vụ khách đã sử dụng đồ uống có cồn hoặc chất kích thích.
112,Nội quy Healing World,Chung,"Quy định về chụp hình, quay phim tại Healing World?","Không được chụp hình, quay phim trong khu vực phòng tắm và phòng thay đồ","Chỉ cấm quay phim, được chụp hình",Cấm chụp hình toàn bộ khuôn viên,Được chụp ở mọi nơi,A,Điều 6: cấm chụp hình và quay phim trong khu vực phòng tắm và phòng thay đồ.
113,Nội quy Healing World,Chung,"Khách bị mất tiền, điện thoại do bất cẩn thì Healing World xử lý ra sao?",Bồi thường 50% giá trị,Không hỗ trợ gì,Bồi thường toàn bộ giá trị,Hỗ trợ tìm kiếm theo khả năng nhưng không bồi thường,D,"Điều 18: hỗ trợ giúp đỡ tìm kiếm theo khả năng, nhưng không chịu trách nhiệm đền bù."
114,Nội quy Healing World,Chung,Quy định về việc cởi áo trong khuôn viên Golden Lotus Healing World?,Chỉ cấm ở khu nhà hàng,Được phép ở khu vực lầu 2,Chỉ cấm ở khu vực check-in,Không được cởi áo trong toàn bộ khuôn viên và mặt tiền,D,Điều 7: không được cởi áo trong toàn bộ khuôn viên và mặt tiền Golden Lotus Healing World.
115,Nội quy Healing World,Chung,Khách có hình xăm như thế nào được yêu cầu không vào Healing World?,Hình xăm trên mặt,Mọi hình xăm,"Hình xăm phản cảm, mang tính chất bạo lực",Hình xăm lớn hơn 10cm,C,"Điều 15: khách có hình xăm phản cảm, mang tính chất bạo lực vui lòng không vào Healing World."
116,Nội quy Healing World,Chung,Quy định về điện thoại tại sảnh thư giãn chung?,"Để chế độ rung, không nói lớn tiếng",Cấm mang điện thoại,Chỉ dùng khi có tai nghe,Được sử dụng bình thường,A,"Điều 2: để điện thoại chế độ rung, không nói lớn tiếng gây ồn ào."
117,Từ cấm & Từ thay thế,Chung,Từ thay thế cho 'Massage' là gì?,Healing care,Relax service,Skin care,Body care / Foot care / Facial,D,"Massage → Body care, Foot care, Facial."
118,Từ cấm & Từ thay thế,Chung,Từ thay thế cho 'Sauna' là gì?,Steam room,Bathhouse,Healing zone,Phòng nhiệt nóng/lạnh,B,Sauna → Bathhouse.
119,Từ cấm & Từ thay thế,Chung,'Jjim Jil Bang' và 'Xông hơi' phải được gọi là gì?,Bathhouse,Dịch vụ Nghỉ dưỡng Healing World,Phòng chức năng,Healing zone,B,Cả hai từ đều thay bằng 'Dịch vụ Nghỉ dưỡng Healing World'.
120,Từ cấm & Từ thay thế,Chung,'Phòng xông' phải gọi thay bằng gì?,Bathhouse,Healing room,Sauna room,Phòng nhiệt nóng/lạnh hoặc Phòng chức năng,D,"Phòng xông → Phòng nhiệt nóng/lạnh, hoặc Phòng chức năng."
121,Từ cấm & Từ thay thế,Chung,"Thay vì nói 'Spa Quận 2', nhân viên phải dùng cách gọi nào?",Golden Lotus Spa Q2,Bathhouse Quận 2,Khu phức hợp Healing World / Healing World Q2 (tiếng Anh: All-in-one Healing World Center),Healing Spa Center,C,Spa Quận 2 → Khu phức hợp Healing World hoặc Healing World Q2; tiếng Anh: All-in-one Healing World Center.
122,Từ cấm & Từ thay thế,Chung,'Chà da' và 'Body Scrub' lần lượt được thay thế bằng?,Honey skin care và Skin care,Peeling Skin và Body care,Skin care và Body care,Skin care/Peeling Skin và Honey skin care,D,Chà da → Skin care / Peeling Skin. Body Scrub → Honey skin care.
123,Từ cấm & Từ thay thế,Chung,'Karaoke' phải được gọi là gì?,Sing zone,Music Box,Entertainment Box,Karaoke room,B,Karaoke → Music Box.
124,Từ cấm & Từ thay thế,Chung,'Study cafe' được thay thế bằng từ nào?,Aqua Garden Cafe,Coworking cafe,Healing cafe,Fish cafe,B,Study cafe → Coworking cafe.
125,Từ cấm & Từ thay thế,Chung,Từ nào sau đây KHÔNG nằm trong danh sách từ cấm?,Body Scrub,Massage,Bathhouse,Sauna,C,"Bathhouse chính là từ THAY THẾ cho Sauna, không phải từ cấm."
126,Khu vực & Hoạt động miễn phí (Q2),Q2,Public Bathhouse nằm ở tầng nào tại Quận 2?,Tầng 2,Tầng 3,Tầng 1,Tầng G,C,Tầng 1: Public Bathhouse · Snack bar · Coworking cafe.
127,Khu vực & Hoạt động miễn phí (Q2),Q2,"Khu Board Game, Relax zone và hồ ngâm chân nằm ở tầng nào?",Tầng 1,Tầng 3,Tầng 2,Tầng G,C,Tầng 2: các phòng nhiệt nóng/lạnh chuyên đề · Board Game · Relax zone · Kid zone · hồ ngâm chân.
128,Khu vực & Hoạt động miễn phí (Q2),Q2,Khu vực nào KHÔNG nằm ở Tầng 3?,Cafe cá,Music Box,Carnival Game,Phòng thuốc bắc,A,"Cafe cá nằm ở Tầng G (cùng Nail, Hair, Massage cá, Golden Kitchen). Carnival Game, Phòng thuốc bắc và Music Box đều ở Tầng 3."
129,Khu vực & Hoạt động miễn phí (Q2),Q2,Lớp Gym miễn phí có bao nhiêu ca mỗi ngày và áp dụng vào những ngày nào?,"9 ca, T2–CN nhưng nghỉ thứ 3 hằng tuần","9 ca, chỉ T2–T6","6 ca, T2–T6","9 ca, T2–CN không nghỉ ngày nào",A,"Gym: 9 ca từ 10:00 đến 20:30, áp dụng T2–CN nhưng NGHỈ thứ 3 hằng tuần."
130,Khu vực & Hoạt động miễn phí (Q2),Q2,Lớp Yoga miễn phí có mấy ca vào T2–T6 và mấy ca vào T7–CN?,6 ca và 6 ca,6 ca và 4 ca,4 ca và 6 ca,9 ca và 4 ca,B,"Yoga: T2–T6 có 6 ca, T7–CN có 4 ca."
131,Khu vực & Hoạt động miễn phí (Q2),Q2,Ca Gym đầu tiên và ca cuối cùng trong ngày là khung giờ nào?,09:00–10:00 và 20:00–21:00,10:00–11:00 và 19:30–20:30,10:30–11:30 và 20:50–21:20,11:00–12:00 và 19:00–20:00,B,Ca 1: 10:00–11:00; Ca 9: 19:30–20:30.
132,Khu vực & Hoạt động miễn phí (Q2),Q2,Dịch vụ nào KHÔNG nằm trong giá vé nghỉ dưỡng?,"Gym, Yoga và Dance","Ăn uống, Body/Foot/Facial care, Nail, Hair, peeling skin, honey skin care và mua xu chơi game",Các phòng nhiệt nóng/lạnh và hồ ngâm chân,Xem phim và board game,B,"Vé nghỉ dưỡng gồm tắm, phòng nhiệt, gym/yoga/dance, khu game, xem phim, hồ ngâm chân, board game, relax zone. KHÔNG gồm: ăn uống, Body/Foot/Facial care, Nail, Hair, peeling skin, honey skin care và tiền mua xu chơi game."
133,Khu vực & Hoạt động miễn phí (Q2),Q2,Lớp Dance miễn phí vào T7–CN có ca đầu tiên lúc mấy giờ?,12:40,13:20,15:10,18:00,A,Dance T7–CN: Ca 1 lúc 12:40–13:10. (15:10 là ca 1 của T2–T6.)
134,Khu vực & Hoạt động miễn phí (Q2),Q2,Lớp Gym miễn phí tại Quận 2 nghỉ vào ngày nào trong tuần?,Thứ 3 hằng tuần,Chủ nhật hằng tuần,Không nghỉ ngày nào,Thứ 2 hằng tuần,A,"Gym chạy T2–CN với 9 ca/ngày, riêng thứ 3 hằng tuần nghỉ."
135,Khu vực & Hoạt động miễn phí (Q2),Q2,Khách vào khu game bằng vé nghỉ dưỡng thì có phải trả thêm tiền gì không?,Không — vé nghỉ dưỡng đã bao gồm cả xu chơi game,Có — vào khu game thì miễn phí nhưng phải mua xu để chơi,Có — phải mua vé vào khu game riêng,"Không, nhưng chỉ được chơi tối đa 3 ca mỗi ngày",B,"Khu game nằm trong vé nghỉ dưỡng, nhưng tiền mua xu để chơi game thì KHÔNG bao gồm — khách phải trả thêm."
136,Khu vực & Hoạt động miễn phí (Q2),Q2,Peeling skin và honey skin care có nằm trong giá vé nghỉ dưỡng không?,Chỉ peeling skin được miễn phí,Không — cả hai đều là dịch vụ tính phí riêng,Chỉ honey skin care được miễn phí,Có — cả hai đều miễn phí kèm vé,B,"Peeling skin và honey skin care nằm trong nhóm KHÔNG bao gồm, cùng với ăn uống, Body/Foot/Facial care, Nail, Hair và tiền mua xu chơi game."
137,Khu vực & Hoạt động miễn phí (Q2),Q2,Snack bar và Kid zone lần lượt nằm ở tầng nào tại Quận 2?,Snack bar ở Tầng 1 · Kid zone ở Tầng 2,Cả hai đều ở Tầng G,Cả hai đều ở Tầng 1,Snack bar ở Tầng 2 · Kid zone ở Tầng 3,A,Tầng 1: Public Bathhouse · Snack bar · Coworking cafe. Tầng 2: phòng nhiệt chuyên đề · Board Game · Relax zone · Kid zone · hồ ngâm chân.
138,Khu vực & Hoạt động miễn phí (Q2),Q2,Gym và phòng thuốc bắc nằm ở tầng nào?,Tầng 2,Tầng 1,"Gym ở Tầng 2, phòng thuốc bắc ở Tầng 3",Tầng 3,D,"Cả Gym lẫn phòng thuốc bắc đều ở Tầng 3, cùng khu với Music Box, Dance, Yoga, Game Class, Game zone, Carnival Game và Chiếu phim."
139,Khu vực & Hoạt động miễn phí (Q2),Q2,"Nail, Hair, Massage cá và Golden Kitchen nằm ở tầng nào tại Quận 2?",Tầng 3,Tầng 1,Tầng G,Tầng 2,C,Tầng G: Nail · Hair · Massage cá · Cafe cá · Golden Kitchen.
140,So sánh & Thay đổi giữa các kỳ,Tổng hợp,"Giá vé HSSV ca sáng tại Quận 2 đã thay đổi thế nào từ kỳ T5,T6 sang T7,T8/2026?",Từ 125k xuống 90k,Từ 110k lên 139k,Giữ nguyên 125k,Từ 90k lên 125k,D,"Kỳ T5,T6 ca sáng HSSV là 90k; từ T7,T8 nâng lên 125k, đồng nhất với ca chiều/tối."
141,So sánh & Thay đổi giữa các kỳ,Tổng hợp,"Ưu đãi tối tại Quận 2 thay đổi ra sao giữa T5,T6 và T7,T8/2026?",Từ 110k lên 139k,Giữ nguyên 139k,Từ 130k lên 150k,Từ 139k xuống 110k,A,"Ưu đãi tối 21:00–24:00: T5,T6 = 110k → T7,T8 trở đi = 139k."
142,So sánh & Thay đổi giữa các kỳ,Tổng hợp,"Điều kiện mạng xã hội của HSSV thay đổi thế nào giữa kỳ T5,T6 và các kỳ sau?",Bỏ hoàn toàn điều kiện MXH,Không thay đổi,Từ 'TikTok VÀ Facebook' đổi thành 'TikTok HOẶC Facebook',Từ 'HOẶC' đổi thành 'VÀ',C,"T5,T6 ghi 'Follow Tiktok và Like + share Facebook'; từ T7,T8 đổi thành 'HOẶC' — nới lỏng cho khách."
143,So sánh & Thay đổi giữa các kỳ,Tổng hợp,Chi nhánh nào KHÔNG có ưu đãi HSSV?,Quận 7,Cả ba đều có,Quận 2,Quận 1,D,"Quận 1 chỉ có Happy Hour Bathhouse Nam, nhóm care và Nail — không có ưu đãi HSSV hay U60+."
144,So sánh & Thay đổi giữa các kỳ,Tổng hợp,Vé HSSV tại Quận 2 và Quận 7 khác nhau bao nhiêu?,"Q2 là 125k, Q7 là 110k","Bằng nhau, đều 125k","Q2 là 90k, Q7 là 125k","Q2 là 125k, Q7 là 90k — chênh 35k",D,Q2: 125k (yêu cầu nhóm ≥2). Q7: 90k.
145,So sánh & Thay đổi giữa các kỳ,Tổng hợp,Ưu đãi U60+ ở Quận 2 và Quận 7 khác nhau như thế nào?,Chỉ Q2 có ưu đãi cho khách U60,"Q7 bán vé 125k, Q2 miễn phí",Hai nơi giống hệt nhau,"Q2 bán vé 125k cả ngày; Q7 miễn phí nhưng phải có 1 người đi kèm ≥18 tuổi trả 150k, chỉ sau 19:00",D,"Q2: vé 125k, 09:00–24:00, T2–T6. Q7: miễn phí cho 1 người ≥60 tuổi kèm 1 người ≥18 tuổi trả 150k, sau 19:00, T2–CN."
146,So sánh & Thay đổi giữa các kỳ,Tổng hợp,"Ưu đãi nào sau đây ÁP DỤNG trong ngày lễ, tết?",Dịch vụ Hair Color/Style/Treatment giảm 30%,Happy Hour Sáng,Ưu đãi U60+ 125k,Combo HSSV Golden Kitchen,A,Hair (Color/Style/Treatment) ghi rõ 'ÁP DỤNG CHO CÁC NGÀY LỄ TẾT'; ba ưu đãi còn lại đều không áp dụng ngày lễ.
